title,artist,popularity,album_name,album_release,genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Circles,Post Malone,98,Hollywood's Bleeding,2019-09-06,pop,0.695,0.762,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
Ayy Macarena,Tyga,91,Ayy Macarena,2019-11-13,pop,0.816,0.63,-5.568,1,0.226,0.133,0,0.0692,0.715,96.493,131607
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),2019-05-10,pop,0.798,0.675,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
Goodbyes (feat. Young Thug),Post Malone,90,Hollywood's Bleeding,2019-09-06,latin,0.548,0.653,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,174853
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,pop,0.76,0.479,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,Hollywood's Bleeding,2019-09-06,pop,0.755,0.522,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560
"thank u, next",Ariana Grande,87,"thank u, next",2019-02-08,pop,0.717,0.653,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320
Better Now,Post Malone,87,beerbongs & bentleys,2018-04-27,pop,0.68,0.578,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267
You Need To Calm Down,Taylor Swift,86,Lover,2019-08-23,pop,0.771,0.671,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360
Perfect,Ed Sheeran,86,÷ (Deluxe),2017-03-03,latin,0.599,0.448,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,pop,0.748,0.524,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
Family,The Chainsmokers,85,World War Joy,2019-12-06,pop,0.584,0.607,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,85,Lover (Remix) [feat. Shawn Mendes],2019-11-13,pop,0.448,0.603,-7.176,1,0.064,0.433,0,0.0862,0.422,205.272,221307
Takeaway,The Chainsmokers,85,World War Joy,2019-12-06,pop,0.528,0.511,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880
Mean It,Lauv,85,~how i'm feeling~,2019-11-14,pop,0.746,0.45,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,232853
Fantasía,Ozuna,85,Nibiru,2019-11-29,latin,0.695,0.719,-5.938,1,0.0903,0.227,1.71e-4,0.0884,0.781,180.074,175187
Wake Me Up,Avicii,84,True,2013-01-01,pop,0.532,0.783,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
I Don't Care (with Justin Bieber),Ed Sheeran,84,No.6 Collaborations Project,2019-07-12,pop,0.798,0.675,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,84,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",2019-08-02,pop,0.806,0.558,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,198973
Photograph,Ed Sheeran,84,x (Deluxe Edition),2014-06-21,pop,0.614,0.379,-10.48,1,0.0476,0.607,4.64e-4,0.0986,0.201,107.989,258987
Congratulations,Post Malone,84,Stoney (Deluxe),2016-12-09,pop,0.63,0.804,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019-10-31,pop,0.651,0.693,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,236765
I Like Me Better,Lauv,83,I Like Me Better,2017-05-19,pop,0.752,0.505,-7.621,1,0.253,0.535,2.55e-6,0.104,0.419,91.97,197437
i'm so tired...,Lauv,83,i'm so tired...,2019-01-24,pop,0.599,0.733,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583
One Dance,Drake,83,Views,2016-05-06,pop,0.792,0.625,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,173987
In My Feelings,Drake,83,Scorpion,2018-06-29,pop,0.835,0.626,-5.833,1,0.125,0.0589,6e-5,0.396,0.35,91.03,217925
The Scientist,Coldplay,83,A Rush of Blood to the Head,2002-08-08,pop,0.56,0.442,-7.224,1,0.0243,0.727,1.71e-5,0.11,0.212,146.448,309600
Thinking out Loud,Ed Sheeran,83,x (Deluxe Edition),2014-06-21,latin,0.781,0.445,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560
Psycho (feat. Ty Dolla $ign),Post Malone,83,beerbongs & bentleys,2018-04-27,r&b,0.75,0.56,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,221440
Sweet Child O' Mine,Guns N' Roses,82,Appetite For Destruction,1987-01-01,pop,0.454,0.91,-7.766,1,0.0446,0.0852,0.0988,0.116,0.63,125.116,354520
Taste (feat. Offset),Tyga,82,Taste (feat. Offset),2018-05-16,latin,0.884,0.559,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
Nonstop,Drake,82,Scorpion,2018-06-29,latin,0.912,0.412,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614
Without You (feat. Sandro Cavazza),Avicii,81,AVĪCI (01),2017-08-10,pop,0.662,0.858,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,181673
